xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.009162649631978765
0.05,-0.01437790593933883,-0.013349864107736307,-0.00979178103882837
0.1,-0.028308804705521773,-0.02902430038512758,-0.023391843265486694
0.15,-0.04180140833032801,-0.045214394169837656,-0.03652926568796837
0.2,-0.054864343153372984,-0.05955538447238033,-0.04990240978979726
0.25,-0.06750614848902003,-0.07340625682984304,-0.06282035341235812
0.3,-0.07973527538409186,-0.08718899176084827,-0.0770921955517145
0.35,-0.09156008546380984,-0.09939470576031482,-0.09089620305139264
0.4,-0.1029888498634806,-0.1135283307810351,-0.10250023797145746
0.45,-0.11402974824341533,-0.12439263893865139,-0.11368680322758758
0.5,-0.12469086788463173,-0.13610275091131954,-0.12558919052637008
0.55,-0.1349802028630128,-0.14821234954080745,-0.13707256687691677
0.6,-0.144905653299503,-0.15787045416293072,-0.14727989425244709
0.65,-0.15447502468410032,-0.16660359188806953,-0.1571018841494228
0.7,-0.16369602727135282,-0.17961850114175917,-0.1667547930677319
0.75,-0.17257627554517255,-0.18986650130883834,-0.176036231615522
0.8,-0.18112328775076614,-0.19780401514629137,-0.18383318929629375
0.85,-0.18934448549158311,-0.20408209136130057,-0.19129575226384787
0.9,-0.1972471933891855,-0.21330555927358433,-0.1985050516352523
0.95,-0.20483863880400077,-0.2203512538679949,-0.20539499288673396
1.0,-0.21212595161492248,-0.2281400574132398,-0.21405741373049686
1.05,-0.21911616405586862,-0.23502006866927283,-0.22237924418045213
1.1,-0.2258162106072932,-0.24036389720605603,-0.22941717728498268
1.15,-0.23223292794082492,-0.24798730565554458,-0.2361473366329498
1.2,-0.2383730549151899,-0.2541857595506989,-0.241880543949369
1.25,-0.24424323262156944,-0.25799512369591193,-0.24733355210401878
1.3,-0.2498500044766848,-0.2644112823308841,-0.2525448878939461
1.35,-0.25519981636185685,-0.26876910725598935,-0.2574899832212063
1.4,-0.26029901680632717,-0.27401567207021327,-0.2636793327185617
1.45,-0.26515385721325974,-0.2796634618946525,-0.2695897277129835
1.5,-0.26977049212671317,-0.2832544500494904,-0.27437991809584644
1.55,-0.27415497953810436,-0.2891291823770937,-0.27892019830133885
1.6,-0.2783132812305206,-0.29252098682419553,-0.28374372558573946
1.65,-0.2822512631594655,-0.2959614050095328,-0.28832125511956636
1.7,-0.2859746958685099,-0.29897375110338004,-0.2925513906199951
1.75,-0.2894892549384032,-0.3033385010390879,-0.2965504081855446
1.8,-0.29280052146827895,-0.30859826626183184,-0.3006568541916177
1.85,-0.29591398258756596,-0.3120153113119704,-0.3045387583339918
1.9,-0.2988350319972465,-0.3140333843761156,-0.30787351127828083
1.95,-0.3015689705391811,-0.3169757627439839,-0.311001706923128
2.0,-0.3041210067922048,-0.3187432530113753,-0.3123195599283215
2.05,-0.30649625769378624,-0.320566586173729,-0.31347111673573347
2.1,-0.30869974918598025,-0.3226455108593633,-0.3160479553574351
2.15,-0.31073641688455084,-0.3265305250977407,-0.3184410468300952
2.2,-0.31261110677006876,-0.3293037222061473,-0.3213489961147619
2.25,-0.3143285758998843,-0.3322793329619931,-0.3240716061589426
2.3,-0.3158934931398814,-0.33128484599830554,-0.32624776125820565
2.35,-0.3173104399149196,-0.3325977991416981,-0.32825561160022326
2.4,-0.3185839109769844,-0.3352913392419339,-0.32722989381632483
2.45,-0.3197183151899713,-0.33511404121050736,-0.32609697015019135
2.5,-0.3207179763301557,-0.3367798273140844,-0.3268053288495508
2.55,-0.3215871339014063,-0.33783506223880266,-0.3273807762069705
2.6,-0.3223299439641648,-0.33827076643324794,-0.3277824169781506
2.65,-0.3229504799773492,-0.3383011636128634,-0.3280609193873808
2.7,-0.32345273365224486,-0.3388159518473132,-0.32881289343531633
2.75,-0.3238406158175778,-0.3385040738789048,-0.329439760019275
2.8,-0.32411795729489473,-0.3358519986755836,-0.32917951663426226
2.85,-0.32428850978348894,-0.33522619176868756,-0.32881614894215705
2.9,-0.3243559467540697,-0.33405679825694995,-0.3288240842908991
2.95,-0.32432386435040106,-0.33272640763178574,-0.3287283175326467
3.0,-0.3241957822982105,-0.3345864719802173,-0.33001912564236285
3.05,-0.3239751448206178,-0.33346389449347513,-0.33118734213509915
3.1,-0.3236653215594236,-0.3310806226585408,-0.3315355496137496
3.15,-0.32326960850156145,-0.3293797825067341,-0.3317812519466833
3.2,-0.32279122891008266,-0.32779801739555303,-0.3313924907975753
3.25,-0.3222333342590225,-0.3270652231492629,-0.3309178720893203
3.3,-0.32159900517158097,-0.32658420110139735,-0.32925962662466435
3.35,-0.32089125236097277,-0.3267388601131293,-0.32754178187590277
3.4,-0.32011301757343774,-0.326886667295372,-0.3265556539043979
3.45,-0.3192671745327935,-0.3255297285170189,-0.32550196545865573
3.5,-0.31835652988606833,-0.32386370941503473,-0.3245855426665495
3.55,-0.3173838241496636,-0.32266946816732217,-0.323603917880856
3.6,-0.31635173265551636,-0.32051803765393394,-0.32190850680307137
3.65,-0.31526286649688423,-0.3198771581454939,-0.32016519002409694
3.7,-0.31411977347316444,-0.3190629901129742,-0.31858028774838354
3.75,-0.31292493903341717,-0.31743123919907057,-0.3169491049707163
3.8,-0.31168078721807324,-0.31663772108791016,-0.31596904185966534
3.85,-0.31038968159848485,-0.31619459811974104,-0.314935350998609
3.9,-0.30905392621388417,-0.31471235212579696,-0.31490638530151127
3.95,-0.3076757665053522,-0.3139766228201409,-0.3148099320538507
4.0,-0.3062573902464894,-0.31414169046676976,-0.3109501655231677
4.05,-0.3048009284703845,-0.3112253110373639,-0.30709366741536126
4.1,-0.30330845639256976,-0.3096567202760589,-0.3044862778820841
4.15,-0.30178199432960967,-0.30895163659197,-0.301863777959283
4.2,-0.3002235086130547,-0.30828120852422825,-0.3012803685241989
4.25,-0.29863491249844804,-0.3047540186966897,-0.30064913320822584
4.3,-0.29701806706906325,-0.3025131322398661,-0.2994722267210117
4.35,-0.2953747821341647,-0.30003473516201035,-0.2982604819035027
4.4,-0.2937068171214925,-0.2969367871527966,-0.2962275315284764
4.45,-0.2920158819637102,-0.293245920761687,-0.2941775271476698
4.5,-0.29030363797865205,-0.2907701157394119,-0.29274567819424013
4.55,-0.2885716987430328,-0.28792600357535225,-0.29128885052250286
4.6,-0.28682163095953894,-0.2867224049636939,-0.2885223751496954
4.65,-0.28505495531697084,-0.2848914721411741,-0.2857571115750202
