xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.009162649631978765
0.05,-0.01437790593933883,-0.013909941847813159,-0.00979178103882837
0.1,-0.028308804705521773,-0.029036377068774172,-0.023391843265486694
0.15,-0.04180140833032801,-0.04417309888074137,-0.03652926568796837
0.2,-0.054864343153372984,-0.0662908622108625,-0.04990240978979726
0.25,-0.06750614848902003,-0.07544307675958281,-0.06282035341235812
0.3,-0.07973527538409186,-0.09327772096344134,-0.0770921955517145
0.35,-0.09156008546380984,-0.10844529999095005,-0.09089620305139264
0.4,-0.1029888498634806,-0.11979880140158805,-0.10250023797145746
0.45,-0.11402974824341533,-0.1297349509855007,-0.11368680322758758
0.5,-0.12469086788463173,-0.1490014885740912,-0.12558919052637008
0.55,-0.1349802028630128,-0.16927691590854374,-0.13707256687691677
0.6,-0.144905653299503,-0.17886980843455952,-0.14727989425244709
0.65,-0.15447502468410032,-0.1962732711677787,-0.1571018841494228
0.7,-0.16369602727135282,-0.20474104883698005,-0.1667547930677319
0.75,-0.17257627554517255,-0.20510565033328437,-0.176036231615522
0.8,-0.18112328775076614,-0.21743657877780037,-0.18383318929629375
0.85,-0.18934448549158311,-0.2198032966333174,-0.19129575226384787
0.9,-0.1972471933891855,-0.22265073094438428,-0.1985050516352523
0.95,-0.20483863880400077,-0.22559285506369225,-0.20539499288673396
1.0,-0.21212595161492248,-0.22810487845998395,-0.21405741373049686
1.05,-0.21911616405586862,-0.23117622697636914,-0.22237924418045213
1.1,-0.2258162106072932,-0.23790668692529443,-0.22941717728498268
1.15,-0.23223292794082492,-0.2487026612896321,-0.2361473366329498
1.2,-0.2383730549151899,-0.2540905803320806,-0.241880543949369
1.25,-0.24424323262156944,-0.257502107029378,-0.24733355210401878
1.3,-0.2498500044766848,-0.269634572456345,-0.2525448878939461
1.35,-0.25519981636185685,-0.2714607690415888,-0.2574899832212063
1.4,-0.26029901680632717,-0.28354892021756956,-0.2636793327185617
1.45,-0.26515385721325974,-0.27751767840593833,-0.2695897277129835
1.5,-0.26977049212671317,-0.28057355871931083,-0.27437991809584644
1.55,-0.27415497953810436,-0.28583421704860984,-0.27892019830133885
1.6,-0.2783132812305206,-0.2896995152667868,-0.28374372558573946
1.65,-0.2822512631594655,-0.2906770211872434,-0.28832125511956636
1.7,-0.2859746958685099,-0.2970996229408194,-0.2925513906199951
1.75,-0.2894892549384032,-0.31932578843939446,-0.2965504081855446
1.8,-0.29280052146827895,-0.3217111565505629,-0.3006568541916177
1.85,-0.29591398258756596,-0.32304620484342905,-0.3045387583339918
1.9,-0.2988350319972465,-0.3264242650728588,-0.30787351127828083
1.95,-0.3015689705391811,-0.32952108202082897,-0.311001706923128
2.0,-0.3041210067922048,-0.3366122671773538,-0.3123195599283215
2.05,-0.30649625769378624,-0.347246942460487,-0.31347111673573347
2.1,-0.30869974918598025,-0.34197878993716146,-0.3160479553574351
2.15,-0.31073641688455084,-0.34817314534972643,-0.3184410468300952
2.2,-0.31261110677006876,-0.3557008318790274,-0.3213489961147619
2.25,-0.3143285758998843,-0.3660000973266713,-0.3240716061589426
2.3,-0.3158934931398814,-0.3685686077126006,-0.32624776125820565
2.35,-0.3173104399149196,-0.372594707617272,-0.32825561160022326
2.4,-0.3185839109769844,-0.3704667935383575,-0.32722989381632483
2.45,-0.3197183151899713,-0.3773171526686825,-0.32609697015019135
2.5,-0.3207179763301557,-0.3817533796042513,-0.3268053288495508
2.55,-0.3215871339014063,-0.39182656996456333,-0.3273807762069705
2.6,-0.3223299439641648,-0.3938740094049626,-0.3277824169781506
2.65,-0.3229504799773492,-0.4044099089663028,-0.3280609193873808
2.7,-0.32345273365224486,-0.4051923062355084,-0.32881289343531633
2.75,-0.3238406158175778,-0.3995437831062631,-0.329439760019275
2.8,-0.32411795729489473,-0.3982828742557492,-0.32917951663426226
2.85,-0.32428850978348894,-0.399435734729521,-0.32881614894215705
2.9,-0.3243559467540697,-0.3968662553514112,-0.3288240842908991
2.95,-0.32432386435040106,-0.3828292249538348,-0.3287283175326467
3.0,-0.3241957822982105,-0.3800838341653986,-0.33001912564236285
3.05,-0.3239751448206178,-0.3830881253528894,-0.33118734213509915
3.1,-0.3236653215594236,-0.3828944986182046,-0.3315355496137496
3.15,-0.32326960850156145,-0.3792598319462702,-0.3317812519466833
3.2,-0.32279122891008266,-0.37359088115912287,-0.3313924907975753
3.25,-0.3222333342590225,-0.3687812126186694,-0.3309178720893203
3.3,-0.32159900517158097,-0.360224274673878,-0.32925962662466435
3.35,-0.32089125236097277,-0.3608902787710094,-0.32754178187590277
3.4,-0.32011301757343774,-0.35704869626679975,-0.3265556539043979
3.45,-0.3192671745327935,-0.3574253517643025,-0.32550196545865573
3.5,-0.31835652988606833,-0.3472107768168629,-0.3245855426665495
3.55,-0.3173838241496636,-0.3469279208509569,-0.323603917880856
3.6,-0.31635173265551636,-0.3548094249142024,-0.32190850680307137
3.65,-0.31526286649688423,-0.3497074677462246,-0.32016519002409694
3.7,-0.31411977347316444,-0.3579743863735356,-0.31858028774838354
3.75,-0.31292493903341717,-0.3627280703048365,-0.3169491049707163
3.8,-0.31168078721807324,-0.36408687502257386,-0.31596904185966534
3.85,-0.31038968159848485,-0.36063938919075306,-0.314935350998609
3.9,-0.30905392621388417,-0.357024046120158,-0.31490638530151127
3.95,-0.3076757665053522,-0.3553313092444003,-0.3148099320538507
4.0,-0.3062573902464894,-0.3495727919019306,-0.3109501655231677
4.05,-0.3048009284703845,-0.34434944736099454,-0.30709366741536126
4.1,-0.30330845639256976,-0.34031175870403113,-0.3044862778820841
4.15,-0.30178199432960967,-0.34776453148975794,-0.301863777959283
4.2,-0.3002235086130547,-0.35314945096017114,-0.3012803685241989
4.25,-0.29863491249844804,-0.3474700641604618,-0.30064913320822584
