xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-0.003078656150394055
0.05,-0.011877399854860825,-0.014327396829347742,-0.0032802460450229915
0.1,-0.02321604348792352,-0.02745796587533126,-0.015180487105056628
0.15,-0.03403683022847357,-0.0399288863685475,-0.026520925641443364
0.2,-0.04435988826859383,-0.0520412585269469,-0.03757819700865449
0.25,-0.054204602598536586,-0.06288794594746122,-0.0481112510886942
0.3,-0.06358964193722354,-0.07327706647577929,-0.05880580805388976
0.35,-0.07253298469390597,-0.08334389528945974,-0.06899597213207127
0.4,-0.08105194399576536,-0.0934861609796932,-0.07805822434298827
0.45,-0.08916319181497236,-0.10290507648592935,-0.08667597237916551
0.5,-0.09688278222746635,-0.11185000494822189,-0.09528239584093094
0.55,-0.10422617383464487,-0.12052405426833694,-0.10346617406350127
0.6,-0.11120825137800772,-0.12812849060580098,-0.11092425914488444
0.65,-0.11784334657567008,-0.1359534763765951,-0.11800326311802561
0.7,-0.1241452582087005,-0.14272165034374157,-0.12479521435800409
0.75,-0.13012727148420317,-0.14966373836309105,-0.13123584264363916
0.8,-0.1358021767010653,-0.1556368592220841,-0.13692505360511117
0.85,-0.14118228724345644,-0.1615072144672737,-0.14230425115462672
0.9,-0.14627945692613054,-0.1665404067657574,-0.14741317395014905
0.95,-0.15110509671486944,-0.171811063927023,-0.15223634268088312
1.0,-0.15567019084443795,-0.17712380281015022,-0.157555575257482
1.05,-0.15998531235572155,-0.18127836171416004,-0.16258782217827372
1.1,-0.16406063807286111,-0.18569124190478667,-0.166993416196496
1.15,-0.1679059630405204,-0.19038209679201148,-0.17114641670225658
1.2,-0.17153071444062853,-0.19500300081300456,-0.1747999117908692
1.25,-0.17494396500733628,-0.19816812971593512,-0.17822971408880822
1.3,-0.1781544459581651,-0.2015880191193528,-0.1814568304887318
1.35,-0.18117055945873037,-0.2047056222316654,-0.1844784734628034
1.4,-0.18400039063778947,-0.20733047707896707,-0.18785889989538312
1.45,-0.1866517191687883,-0.21182039649489492,-0.19103336622135447
1.5,-0.18913203043343127,-0.21369554839218832,-0.19369716366793538
1.55,-0.1914485262823005,-0.21599221902484572,-0.19618207944325813
1.6,-0.19360813540704455,-0.21785733775861282,-0.19869034413640396
1.65,-0.19561752333801738,-0.22049844811656857,-0.20102865964304542
1.7,-0.197483102080872,-0.22404316852165398,-0.2031644870871876
1.75,-0.19921103940507212,-0.22518496358128728,-0.20514603075271196
1.8,-0.20080726779681973,-0.22740655067288734,-0.20710278763876014
1.85,-0.20227749308845125,-0.2285117137062799,-0.20891456422974394
1.9,-0.20362720277595603,-0.22932728418978002,-0.21046625826819496
1.95,-0.2048616740357957,-0.2303762939456549,-0.21188930837403336
2.0,-0.20598598145185176,-0.23142640998239794,-0.21259471676086072
2.05,-0.2070050044629097,-0.23244021800739095,-0.21320167523076575
2.1,-0.20792343454073092,-0.2325746756528751,-0.21430087756179803
2.15,-0.20874578210840936,-0.23363584961639727,-0.21529207070750983
2.2,-0.2094763832083137,-0.23406014104107492,-0.2164362982386069
2.25,-0.21011940592866124,-0.23530558908017507,-0.21747401576634337
2.3,-0.2106788565974037,-0.23542002491252823,-0.21827466204900053
2.35,-0.2111585857517344,-0.236608978511996,-0.21898257062153412
2.4,-0.21156229389137093,-0.23695734193157542,-0.21854151207709988
2.45,-0.2118935370233226,-0.23711628639584434,-0.21804993026223163
2.5,-0.2121557320056949,-0.2377911187563456,-0.21822890128113515
2.55,-0.21235216169771132,-0.2371259960449908,-0.21833996939532302
2.6,-0.21248597992298457,-0.23704753337823875,-0.21836971621436377
2.65,-0.21256021625269417,-0.2368575405451774,-0.21833869043087054
2.7,-0.21257778061520385,-0.23624511363018721,-0.21846880895235296
2.75,-0.21254146773834925,-0.23564370064620216,-0.21853722210020882
2.8,-0.21245396143039696,-0.23504171899901347,-0.21826390027956338
2.85,-0.21231783870553078,-0.23386674620926268,-0.21794391674235825
2.9,-0.2121355737594065,-0.23331003478169485,-0.21775362858289435
2.95,-0.2119095418002267,-0.23372879926049184,-0.21751608111335655
3.0,-0.21164202274051575,-0.23302551880592304,-0.2177830004558318
3.05,-0.21133520475460052,-0.23241800948944616,-0.21799008193881578
3.1,-0.21099118770666025,-0.23146591445978376,-0.21788113104931608
3.15,-0.21061198645399307,-0.23117678365717292,-0.2177262947898915
3.2,-0.21019953403001812,-0.2303358286525156,-0.21733008992315836
3.25,-0.20975568471129014,-0.2291853253229781,-0.2168989946898039
3.3,-0.20928221697280536,-0.22971435625995165,-0.21602814343061305
3.35,-0.2087808363355144,-0.2295046411053557,-0.21513924919637015
3.4,-0.20825317811002433,-0.23000160193090408,-0.21452493106009438
3.45,-0.20770081004017926,-0.22925569299950688,-0.21388598860778163
3.5,-0.20712523485013373,-0.22943203882429372,-0.21329856624527635
3.55,-0.2065278926984293,-0.22883701422835304,-0.2126872330784362
3.6,-0.2059101635424156,-0.22796917202957487,-0.2118128091199045
3.65,-0.20527336941622545,-0.22684285023277925,-0.21092513014872308
3.7,-0.2046187766254734,-0.2260289494411389,-0.2101005800226287
3.75,-0.20394759786164743,-0.22492060327880598,-0.20926259830923277
3.8,-0.20326099423910032,-0.22357560173101018,-0.20866904039554038
3.85,-0.20256007725744815,-0.22283424925223422,-0.20805606060790072
3.9,-0.20184591069205612,-0.22517583496038782,-0.207815081074256
3.95,-0.20111951241523068,-0.22483693359839016,-0.20754480248360088
4.0,-0.2003818561505918,-0.22517771745604329,-0.2058803785201675
4.05,-0.19963387316305886,-0.22447951299407773,-0.20423334805395693
4.1,-0.19887645388678246,-0.22287133237854534,-0.20306330893686217
4.15,-0.198110449493263,-0.2216202994084962,-0.20189599553982449
4.2,-0.19733667340179933,-0.2200010162467487,-0.20149016079180493
4.25,-0.196555902734387,-0.21854229363696878,-0.2010638292226854
4.3,-0.19576887971705403,-0.2176888708369685,-0.20043354838826866
4.35,-0.19497631302957144,-0.21605533906048902,-0.1997911160393438
4.4,-0.1941788791054254,-0.215667768426841,-0.19884623051661862
4.45,-0.1933772233838292,-0.21496345061193758,-0.19790032899765428
4.5,-0.192571961515541,-0.21482369134716323,-0.1971880304413763
4.55,-0.19176368052412673,-0.21447916088627292,-0.19646833137286504
4.6,-0.1909529399243091,-0.21304832927980466,-0.19526670256706335
4.65,-0.1901402727989449,-0.21155120475651665,-0.19407427963158033
4.7,-0.1893261868361426,-0.21085603305618675,-0.19287632132777627
4.75,-0.18851116532795462,-0.20961774677109385,-0.19168835665615805
4.8,-0.1876956681320383,-0.2081729762556235,-0.19096774234616118
4.85,-0.18688013259763564,-0.2076931018788998,-0.19024278992492932
4.9,-0.1860649744571777,-0.20728296608265834,-0.18992328344982348
4.95,-0.18525058868472558,-0.20623381194890736,-0.18958757888381145
5.0,-0.18443735032249664,-0.20507503413412503,-0.1889748989744228
5.05,-0.1836256152766067,-0.20423815179216448,-0.18835630286293428
5.1,-0.18281572108316535,-0.2029804795761112,-0.18730318370088236
5.15,-0.18200798764577453,-0.20199153018171465,-0.18625903772822863
5.2,-0.1812027179455132,-0.2004833996248064,-0.1856995823323716
5.25,-0.18040019872435362,-0.19910580925508575,-0.18513413620499494
5.3,-0.179600701143055,-0.19735220098899678,-0.18417631755127767
5.35,-0.17880448141437222,-0.19645811338272448,-0.18322600483301946
5.4,-0.17801178141254076,-0.19616327519220872,-0.1821200599414093
5.45,-0.17722282925989566,-0.1955543906921628,-0.18102705339346506
5.5,-0.17643783989142764,-0.19469179581192125,-0.1800429226051656
5.55,-0.17565701559812333,-0.19378738182840916,-0.17906851452261735
5.6,-0.17488054654982557,-0.19308800370677054,-0.17804653432618697
5.65,-0.17410861129838687,-0.19200177460702467,-0.177036140769254
5.7,-0.1733413772618139,-0.19070701124760922,-0.17617514181860847
5.75,-0.1725790011901264,-0.18987013553675158,-0.1753212299817373
5.8,-0.1718216296135809,-0.18911390214449406,-0.17473784409371243
5.85,-0.17106939927389106,-0.18763320248253051,-0.17415333335544497
5.9,-0.17032243753909881,-0.1861510573681916,-0.17301286262526777
5.95,-0.16958086280266738,-0.18517147806116324,-0.17188965999365735
6.0,-0.16884478486739293,-0.18390164159032676,-0.17126675255836873
6.05,-0.16811430531467195,-0.1841669588362912,-0.17064516592510204
6.1,-0.1673895178596876,-0.18365587984705573,-0.1702919624952306
6.15,-0.16667050869299463,-0.18336690660579108,-0.16993208941771004
6.2,-0.16595735680904955,-0.18321371498341907,-0.16923043865356055
6.25,-0.16525013432212124,-0.1823302451222904,-0.16853383583446163
6.3,-0.1645489067700682,-0.1815599261894331,-0.16803125825322074
6.35,-0.16385373340642798,-0.18004086492447022,-0.16752792899062358
6.4,-0.1631646674812405,-0.17956322861548585,-0.16676617672527172
6.45,-0.16248175651103747,-0.17922895908442105,-0.1660124793385915
6.5,-0.1618050425383588,-0.17934351912125038,-0.1659739099960634
6.55,-0.16113456238124185,-0.17779490410983198,-0.16592085272562523
6.6,-0.16047034787299364,-0.176928589824464,-0.16548041988187714
6.65,-0.15981242609263438,-0.17579402127223262,-0.16503888528181784
6.7,-0.1591608195863669,-0.1748121598492539,-0.1636615909175297
6.75,-0.15851554658037176,-0.1736543257401487,-0.1623135333231821
6.8,-0.15787662118528978,-0.17298253910784678,-0.1616252929403184
6.85,-0.15724405359264484,-0.1739834653082546,-0.1609446750977704
6.9,-0.15661785026356476,-0.1729035263967538,-0.159642442807296
6.95,-0.1559980141100601,-0.1720113475185171,-0.1583678173773453
7.0,-0.1553845446691106,-0.17099201519811433,-0.15808840891313317
7.05,-0.15477743826987353,-0.1700205780662326,-0.1578043462336415
7.1,-0.15417668819424932,-0.1686564061356381,-0.15729968217336132
7.15,-0.15358228483102837,-0.16740862493823883,-0.15679800496606558
7.2,-0.1529942158239084,-0.16660013607536434,-0.15638301332832275
7.25,-0.15241246621355486,-0.16507117984060735,-0.15596856573885756
7.3,-0.15183701857398102,-0.1657993152894077,-0.15563502450058003
7.35,-0.15126785314340996,-0.16539350576929288,-0.1552998451607407
7.4,-0.1507049479498578,-0.16466995584878327,-0.1552631321121314
7.45,-0.15014827893162738,-0.1635296908393561,-0.1552157368071536
7.5,-0.14959782005290467,-0.16225931812877054,-0.15445061257029377
7.55,-0.14905354341461993,-0.16129159489279263,-0.15369844675263228
7.6,-0.1485154193607931,-0.160479040742373,-0.15302134049911978
7.65,-0.14798341658049488,-0.15995728990728714,-0.15235469744109448
7.7,-0.14745750220561255,-0.15878626745787003,-0.15195550474970185
7.75,-0.14693764190455577,-0.15891493311235397,-0.15155823458097104
7.8,-0.14642379997208757,-0.1575728646629884,-0.15128664138235662
7.85,-0.14591593941538877,-0.15679525989113807,-0.1510132502429978
7.9,-0.14541402203653833,-0.15569830627018155,-0.1500235871760082
7.95,-0.14491800851151027,-0.1543127610890638,-0.14905534677325769
8.0,-0.14442785846583614,-0.153167975797785,-0.14830098098134292
8.05,-0.14394353054706474,-0.15258967392546385,-0.14756076633507637
8.1,-0.14346498249411646,-0.15221565022671135,-0.14703579401535138
8.15,-0.14299217120369806,-0.1510154325512604,-0.14651791872510697
8.2,-0.14252505279382177,-0.1501200247557436,-0.14514570463001372
8.25,-0.14206358266461053,-0.14930106516506078,-0.14380785030427334
8.3,-0.14160771555643717,-0.14868863368818316,-0.14374666583679094
8.35,-0.14115740560552884,-0.1487278036217094,-0.14367821897797492
8.4,-0.14071260639713115,-0.14784017276755743,-0.14285689637795207
8.45,-0.14027327101631676,-0.1471444563997562,-0.14205285888670036
8.5,-0.1398393520965424,-0.14609066806064758,-0.14200990900875746
