xdata,sfr_data,bfsfr_data,real_data
0.0,-0.0,-0.0,-3.35788174604023e-5
0.05,-0.01437790593933883,-0.017370996897571045,-3.547601403598603e-5
0.1,-0.028308804705521773,-0.03304220074697504,-0.015144113317890881
0.15,-0.04180140833032801,-0.04948631605845006,-0.029764809255124012
0.2,-0.054864343153372984,-0.06402474354611361,-0.04391900173170367
0.25,-0.06750614848902003,-0.08173133568379243,-0.05760502445718212
0.3,-0.07973527538409186,-0.09715208866164259,-0.07087617781226094
0.35,-0.09156008546380984,-0.11259448654075768,-0.0836979066857541
0.4,-0.1029888498634806,-0.12491399164825945,-0.09601469750273964
0.45,-0.11402974824341533,-0.1380085993321486,-0.10790228676218984
0.5,-0.12469086788463173,-0.15108918745668212,-0.11936506754521224
0.55,-0.1349802028630128,-0.1635152651533245,-0.13041731106637638
0.6,-0.144905653299503,-0.17406320381721202,-0.1411317605139651
0.65,-0.15447502468410032,-0.18578326291453987,-0.15145263814809734
0.7,-0.16369602727135282,-0.19654382746978322,-0.16139175362263794
0.75,-0.17257627554517255,-0.20928276802686216,-0.1709548789198795
0.8,-0.18112328775076614,-0.21995111065168277,-0.18012450546369113
0.85,-0.18934448549158311,-0.22906820325694405,-0.1889357599621346
0.9,-0.1972471933891855,-0.23744180880375743,-0.1973433804789557
0.95,-0.20483863880400077,-0.24660581749521454,-0.20541024694848037
1.0,-0.21212595161492248,-0.256353212692697,-0.21323135065290963
1.05,-0.21911616405586862,-0.26342933679499086,-0.2207263211410765
1.1,-0.2258162106072932,-0.2706784784177901,-0.2278269929178563
1.15,-0.23223292794082492,-0.2779444739896004,-0.23461859101793853
1.2,-0.2383730549151899,-0.28455540332730445,-0.2411350999699921
1.25,-0.24424323262156944,-0.2948309103251667,-0.2473572732873597
1.3,-0.2498500044766848,-0.30043898705482414,-0.2532576525893926
1.35,-0.25519981636185685,-0.3061023856944515,-0.2588790521919892
1.4,-0.26029901680632717,-0.3101374763151548,-0.2643136028278585
1.45,-0.26515385721325974,-0.31601517397240214,-0.269481914480079
1.5,-0.26977049212671317,-0.3212284289772638,-0.2743077902934804
1.55,-0.27415497953810436,-0.3261982377880343,-0.27888271100238077
1.6,-0.2783132812305206,-0.33466166061775326,-0.2832636817202109
1.65,-0.2822512631594655,-0.3377676343678495,-0.2874061213127966
1.7,-0.2859746958685099,-0.3432966228643253,-0.2913163686501485
1.75,-0.2894892549384032,-0.34473574853102185,-0.29500096001247
1.8,-0.29280052146827895,-0.34879549208540445,-0.29845774485361576
1.85,-0.29591398258756596,-0.35183904770727226,-0.3017014433466235
1.9,-0.2988350319972465,-0.35760496417746745,-0.30475491483101436
1.95,-0.3015689705391811,-0.36127540420505466,-0.3076069725168543
2.0,-0.3041210067922048,-0.3634928848442845,-0.3102255474211613
2.05,-0.30649625769378624,-0.37155739025604523,-0.3126549199913314
2.1,-0.30869974918598025,-0.3753397297693882,-0.31488374123082064
2.15,-0.31073641688455084,-0.3764015446174441,-0.31693475784154646
2.2,-0.31261110677006876,-0.38392122360024167,-0.31883913380595014
2.25,-0.3143285758998843,-0.38447342454401445,-0.32057591413295095
2.3,-0.3158934931398814,-0.38409476923964897,-0.3221840266852627
2.35,-0.3173104399149196,-0.38999687101208375,-0.3236342014974685
2.4,-0.3185839109769844,-0.38995290642582137,-0.32494213129769045
2.45,-0.3197183151899713,-0.3899769159921184,-0.3261017928650293
2.5,-0.3207179763301557,-0.39008696165993617,-0.3271047714019927
2.55,-0.3215871339014063,-0.39194062046107037,-0.32796918158083144
2.6,-0.3223299439641648,-0.39038819179408063,-0.3286826069408098
2.65,-0.3229504799773492,-0.39180033446165974,-0.32926683919527616
2.7,-0.32345273365224486,-0.3900827666030366,-0.32973295868703156
2.75,-0.3238406158175778,-0.3901216830317756,-0.3300784542688921
2.8,-0.32411795729489473,-0.39262369436360395,-0.3302780065762581
2.85,-0.32428850978348894,-0.3918231213043795,-0.3303657790614136
2.9,-0.3243559467540697,-0.39008862563417546,-0.3303252899398345
2.95,-0.32432386435040106,-0.3939975313537022,-0.3301813349627956
3.0,-0.3241957822982105,-0.3978646050964622,-0.33000168494364895
3.05,-0.3239751448206178,-0.3964577074811212,-0.3297250224464773
3.1,-0.3236653215594236,-0.39708011124230097,-0.329306509159014
3.15,-0.32326960850156145,-0.3981275750136421,-0.3287991105049145
3.2,-0.32279122891008266,-0.4005451877137775,-0.32823440419242333
3.25,-0.3222333342590225,-0.39829545859573123,-0.3275872309928606
3.3,-0.32159900517158097,-0.3993518311820805,-0.326837422837736
3.35,-0.32089125236097277,-0.39642328167497437,-0.3260121670146182
3.4,-0.32011301757343774,-0.3933273597139448,-0.32513856648228046
3.45,-0.3192671745327935,-0.39067506089725507,-0.3241953728799465
3.5,-0.31835652988606833,-0.38847091704632836,-0.3231265450400417
